country,le,ic,op,th,pp,uhc,continent
Afghanistan,59.3,1500.0,83.1,45.6,28400000,False,Asia
Albania,77.5,9530.0,58.7,592.0,2970000,True,Europe
Algeria,76.1,12700.0,19.6,365.0,35300000,True,Africa
Andorra,82.2,41700.0,22.4,3400.0,84500,False,Europe
Angola,59.1,6290.0,10.1,297.0,22500000,False,Africa
Antigua and Barbuda,76.6,22600.0,29.3,873.0,86700,False,North America
Argentina,75.6,17300.0,19.9,1390.0,40500000,True,South America
Armenia,73.9,6530.0,52.5,245.0,2890000,False,Asia
Australia,81.7,41300.0,19.5,3480.0,21800000,True,Oceania
Austria,80.3,42700.0,14.5,4290.0,8370000,True,Europe
Azerbaijan,69.1,15700.0,69.3,554.0,8920000,False,Asia
Bahamas,73.3,29700.0,28.7,2090.0,350000,True,North America
Bahrain,77.8,40700.0,17.1,1080.0,1190000,False,Asia
Bangladesh,69.1,2410.0,64.7,20.6,146000000,False,Asia
Barbados,76.7,16300.0,,1180.0,281000,False,North America
Belarus,70.4,15100.0,26.9,782.0,9430000,False,Europe
Belgium,79.8,40400.0,19.9,3950.0,10900000,True,Europe
Belize,73.5,7780.0,,393.0,315000,False,North America
Benin,61.0,1830.0,42.8,69.0,8940000,False,Africa
Bhutan,71.1,6160.0,13.0,254.0,678000,True,Asia
Bolivia,70.5,5210.0,,237.0,9880000,False,South America
Bosnia and Herzegovina,76.1,9600.0,38.6,934.0,3740000,False,Europe
Botswana,58.4,12400.0,7.08,1300.0,1950000,True,Africa
Brazil,74.2,13700.0,,921.0,194000000,True,South America
Brunei,75.0,79500.0,14.7,1520.0,384000,False,Asia
Bulgaria,73.6,15000.0,,995.0,7470000,False,Europe
Burkina Faso,57.8,1390.0,37.1,88.8,15100000,True,Africa
Burundi,56.9,721.0,39.3,45.4,8400000,False,Africa
Cambodia,66.6,2420.0,42.3,110.0,14100000,False,Asia
Cameroon,56.9,2860.0,70.0,117.0,19800000,False,Africa
Canada,81.1,39900.0,14.6,4310.0,33700000,True,North America
Cape Verde,74.0,5930.0,25.9,174.0,487000,False,Africa
Central African Republic,47.4,950.0,62.5,30.5,4340000,False,Africa
Chad,55.8,1740.0,77.6,60.3,11600000,False,Africa
Chile,78.6,18500.0,,1210.0,16900000,True,South America
China,75.7,8630.0,37.5,347.0,1360000000,True,Asia
Colombia,77.7,10600.0,,687.0,44800000,True,South America
Comoros,65.4,2390.0,46.8,34.3,673000,False,Africa
"Congo, Dem. Rep.",57.1,637.0,35.8,31.4,62400000,False,Africa
