country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,22.1,29.7,32.1,35.6,36.2,40.4,38.3,45.6,44.5
Albania,106,146,156,184,225,266,279,303,326,380,407,451,494,557,592,577
Algeria,192,180,196,206,203,188,212,225,235,227,222,233,273,299,365,330
Andorra,1470,1600,1790,2320,1830,1970,1950,2150,2230,2330,2480,2850,3020,3220,3400,3260
Angola,68.6,43,48.1,41.6,44.3,56.3,82.2,63.4,72.1,63,71.3,104,131,191,297,168
Antigua and Barbuda,502,502,527,544,565,585,580,595,642,689,734,815,896,887,873,991
Argentina,648,664,753,800,850,839,830,658,724,806,916,1020,1130,1220,1390,1290
Armenia,89.4,88.2,93.7,103,107,128,136,143,171,191,199,200,217,230,245,239
Australia,1600,1700,1800,1940,2090,2250,2370,2540,2660,2860,2960,3140,3310,3410,3480,3440
Austria,2240,2310,2450,2600,2730,2860,2910,3060,3200,3390,3480,3720,3880,4130,4290,4390
Azerbaijan,87.4,94.4,89.3,98.8,105,102,109,121,199,269,343,367,383,386,554,579
Bahamas,1200,1240,1260,1290,1330,1370,1410,1500,1590,1750,1850,2090,2180,2230,2090,1990
Bahrain,821,834,866,897,914,815,929,1030,1080,1050,1010,955,954,975,1080,1080
Bangladesh,11.4,11.5,9.27,9.35,9.71,9.88,10.3,10.9,11.5,12.6,13.2,14.4,16.5,18.2,20.6,23.5
Barbados,638,650,667,667,694,791,830,925,916,1200,1060,1370,1430,1470,1180,1520
Belarus,232,225,271,271,295,319,371,388,434,500,585,617,713,753,782,786
Belgium,1710,1810,1850,1920,2050,2250,2370,2540,3040,3170,3230,3280,3440,3720,3950,4030
Belize,164,140,156,155,161,197,234,237,268,273,288,302,336,351,393,378
Benin,47.8,48.3,47,49.3,52.8,52.6,59.5,53,59,59.8,64.9,66.4,67,64,69,65
Bhutan,60.7,91,111,120,159,165,165,228,152,142,162,195,224,246,254,275
Bolivia,122,131,131,158,191,192,203,215,189,190,211,192,199,223,237,233
Bosnia and Herzegovina,151,288,283,315,369,315,337,351,424,527,576,668,770,892,934,972
Botswana,249,266,305,313,306,400,470,583,615,926,884,833,1030,1060,1300,1150
Brazil,417,440,454,449,473,502,521,530,528,576,695,767,828,862,921,1030
Brunei,1230,1580,1540,1820,1720,1280,1400,1430,1450,1430,1280,1180,1240,1200,1520,1450
Bulgaria,291,241,257,286,338,385,505,575,624,651,719,763,842,972,995,947
Burkina Faso,28.2,32.4,34.1,37,40,39.4,40.2,42.2,49.9,57.6,69.7,70.6,73.2,80.9,88.8,92.6
Burundi,18.4,17.5,15.9,18.1,17.6,19.8,21.8,23.2,23.7,34.7,42.3,52,52.3,48.6,45.4,47.3
Cambodia,43,65.4,57.9,52.4,52,58,70.9,79.8,97.5,104,113,101,96.3,107,110,121
Cameroon,51.9,72.3,68,67.4,69.9,73.5,80.6,86.2,91.5,90.8,94.3,96.9,101,112,117,122
Canada,2050,2060,2150,2310,2420,2520,2730,2870,3060,3210,3450,3670,3850,4000,4310,4400
Cape Verde,76.2,72.2,72.5,86.2,86.6,95.1,108,111,110,121,125,160,168,177,174,184
Central African Republic,22.4,21.3,23.3,22.3,23.2,26.1,26.2,26.7,25.6,26,25.1,26.8,30.4,30,30.5,31.1
Chad,36.4,34.9,36.8,37.7,39.9,41.8,44.2,62.5,51,59.7,65,55.6,58,49,60.3,61.7
Chile,500,600,642,712,724,768,816,835,780,798,843,864,959,1090,1210,1200
China,52.6,62.6,73.5,85.7,96.1,108,118,136,154,169,191,215,240,285,347,379
Colombia,406,496,559,546,522,429,438,449,494,510,544,581,619,622,687,713
Comoros,36.5,34.5,35.3,31.4,29.9,26.9,22.1,28.3,30.7,33.9,38.6,42.5,46.1,49.1,34.3,49.1
"Congo, Dem. Rep.",10.9,9.87,11.1,12.6,10.7,11.2,9.91,9.88,12.5,14.2,16.2,17.9,19.1,23.8,31.4,27.3
"Congo, Rep.",81,75.7,76.4,97.8,78.8,58.4,69.3,72.5,77.7,78.9,81.4,84.9,95.7,97.6,109,104
Costa Rica,383,391,380,414,439,471,521,574,620,654,702,796,969,1060,1160,1240
Cote d'Ivoire,72.1,84.4,98.2,109,92.5,81.2,63.7,54.9,59.3,68.3,71.6,79.5,101,105,94.8,97.6
Croatia,547,640,563,673,732,847,844,789,864,960,1070,1180,1410,1580,1560,1510
Cuba,118,127,129,128,136,148,160,172,171,172,245,277,399,431,478,431
Cyprus,724,815,891,950,1000,1110,1200,1300,1470,1480,1550,1650,1720,1870,1870,1840
Czech Republic,897,915,921,925,939,981,1080,1200,1340,1390,1480,1560,1660,1840,2110,2050
Denmark,1870,1980,2060,2130,2410,2510,2680,2870,2890,3130,3240,3580,3750,4030,4350,4540
Djibouti,68.7,64.8,71.4,82.1,97.1,90.4,86,89,105,99.3,133,138,160,158,180,170
Dominica,304,322,343,353,365,378,387,398,411,422,453,503,551,570,592,731
Dominican Republic,202,209,240,264,286,326,326,353,332,306,350,400,425,480,507,578
Ecuador,189,208,217,215,222,201,238,295,366,402,430,473,507,552,692,653
Egypt,109,126,149,163,182,196,217,235,231,232,236,257,259,272,286,289
El Salvador,240,292,331,350,353,367,372,379,376,388,407,403,405,408,439,450
Equatorial Guinea,113,114,172,259,158,148,246,546,397,480,421,458,582,908,1560,1550
Eritrea,25.8,22.8,28.3,29,31,29.9,31,26.9,21.4,18.6,19.1,19,19.6,20.3,15.9,16
Estonia,396,453,492,468,574,596,591,664,753,858,828,955,1100,1310,1340,1230
Ethiopia,11.6,12.9,13.8,15.4,17.2,20.1,23.9,23.9,24.3,24.4,26.1,29.8,38.1,38.1,42.1,50.6
Fiji,91.7,102,108,99.8,108,133,117,130,128,149,156,173,170,168,197,198
Finland,1480,1550,1620,1660,1740,1850,1970,2150,2250,2450,2590,2760,2910,3160,3230,3280
France,2100,2160,2220,2310,2400,2550,2720,2920,2980,3110,3300,3480,3670,3800,3970,4020
Gabon,361,365,328,468,359,293,343,381,408,374,338,373,409,384,511,522
Gambia,54.4,49,47.4,56.3,56.5,59.4,62.6,60.4,63.7,73.2,71.4,69.2,65.3,68.3,83.4,79.7
Georgia,104,115,140,122,123,143,175,212,237,262,302,336,380,440,487,522
Germany,2280,2400,2420,2490,2590,2680,2810,2950,3100,3170,3360,3570,3720,3960,4220,4330
Ghana,41.6,42.2,45.3,46,45.4,44.8,55,48.4,51.8,69.4,84.8,68.9,83.3,83.8,76.7,84.9
Greece,1260,1300,1350,1380,1470,1450,1750,1970,2030,2090,2350,2610,2720,3000,3050,2850
Grenada,286,303,336,367,434,514,594,537,550,506,609,640,655,643,639,594
Guatemala,109,110,120,140,161,194,219,217,231,239,251,318,332,330,322,325
Guinea,35.8,37.6,38.9,41.3,43.1,44.4,47.9,51.1,49.2,49.4,48.5,53.5,55.9,60.4,60.1,56.3
Guinea-Bissau,117,99.4,85.9,62,54.3,62.8,59.9,65.7,53.4,53.4,57,60.1,62,64.6,90.7,100
Guyana,86.7,91.8,105,106,99.1,123,130,135,132,191,234,165,144,170,182,167
Haiti,59.2,60,59.3,58.3,56.3,61.1,56.5,52.5,47.5,45.7,45.1,60.7,62.1,61,71.1,76.2
Honduras,120,115,119,140,138,138,144,165,182,197,191,202,224,239,268,
Hungary,658,658,678,763,810,853,970,1110,1280,1310,1410,1490,1430,1500,1510,1470
Iceland,1960,2020,2520,2560,2920,2830,2930,3240,3270,3400,3380,3370,3500,3660,3580,3280
India,47.1,49.1,55.8,59.7,60.3,66.7,74.3,75.4,80.1,82.3,92.1,99.1,108,116,124,132
Indonesia,43.1,47.5,48.4,45.3,50.1,45.5,54.3,57,68.3,68.1,74.4,83.6,98.4,95.3,100,112
Iran,210,217,248,280,289,306,354,382,393,426,523,550,600,668,728,836
Iraq,,162,30.6,41.4,46.4,76.9,84,28.8,74.5,152,122,119,136,159,342,340
